sentence,label,source
way plug us unless go converter,0,1
good case excellent value,1,1
great jawbone,1,1
tied charger conversations lasting 45 minutesmajor problems,0,1
mic great,1,1
jiggle plug get line right get decent volume,0,1
several dozen several hundred contacts imagine fun sending one one,0,1
razr owneryou must,1,1
needless say wasted money,0,1
waste money time,0,1
sound quality great,1,1
impressed going original battery extended battery,1,1
two seperated mere 5 ft started notice excessive static garbled sound headset,0,1
good quality though,1,1
design odd ear clip comfortable,0,1
highly recommend one blue tooth phone,1,1
advise everyone fooled,0,1
far good,1,1
works great,1,1
clicks place way makes wonder long mechanism would last,0,1
went motorolas website followed directions could get pair,0,1
bought use kindle fire absolutely loved,1,1
commercials misleading,0,1
yet run new battery two bars thats three days without charging,1,1
bought mother problem battery,0,1
great pocket pc phone combination,1,1
ive owned phone 7 months say best mobile phone ive,1,1
didnt think instructions provided helpful,0,1
people couldnt hear talk pull earphone talk phone,0,1
doesnt hold charge,0,1
simple little phone use breakage unacceptible,0,1
product ideal people like whose ears sensitive,1,1
unusable moving car freeway speed,0,1
two years left contract hate phone,0,1
car charger well ac charger included make sure never run juicehighy recommended,1,1
need least 3 mins get phone book time first turn phonebattery life short,0,1
kept well,1,1
poor talk time performance,0,1
case great works fine 680,1,1
worthless product,0,1
great camera thats 2mp pics nice clear great picture quality,1,1
impressed product,0,1
nice headset priced right,1,1
hear garbage audio,0,1
excellent bluetooth headset,1,1
features want,1,1
right mind gonna buy battery,0,1
arguing verizon regarding dropped calls returned phones two days,0,1
case seems well made,1,1
disappointed battery,0,1
loud enough doesnt turn like,0,1
good protection make phone bulky,1,1
usable keyboard actually turns pda realworld useful machine instead neat gadget,1,1
phone pretty sturdy ive never large problems,1,1
love thing,1,1
everything fine reasonable price ie,1,1
disappointed,0,1
even dropped phone stream submerged 15 seconds still works great,1,1
happy 510 complaints one regarding sound quality end,1,1
buttons bad,0,1
essentially forget microsofts tech support,0,1
really recommend faceplates since looks nice elegant cool,1,1
headphones great find think perhaps best purchase ive made last several years seriously,1,1
buy different phone,0,1
hold phone particular angle party hear clearly,0,1
one big drawback mp3 player buttons phones front cover let pause skip songs lock seconds,0,1
week later activated suddenly died,0,1
feels comfortable headsets wear glasses gets way sometimes,1,1
great ipods,1,1
device great several situations1,1,1
mic doesnt work,0,1
even bmw 3 series fairly quiet trouble hearing person saying,0,1
great choice,1,1
nice docking station home work,1,1
beautiful phone,1,1
love product,1,1
buy d807wrongly advertised d807,0,1
great little item,1,1
love phone handy lot features,1,1
purchased within 2 days longer working,0,1
wear everyday holds well,1,1
good bargain,0,1
well packaged arrived time works intended,1,1
battery runs quickly,0,1
item worked great broke 6 months use,0,1
headsets easy use everyone loves,1,1
phone works great,1,1
construction headsets poor,0,1
product excellent works better verizon one boy cheaper,1,1
phone loads super,1,1
product costs much one expect work far better greater ease thing,0,1
made sturdy,1,1
worked great,1,1
ear buds play music one ear,0,1
dont waste money,0,1
order,1,1
plan use car forget,0,1
found product waaay big,0,1
best ive found far ive tried 2 bluetooths one best quality listener well ease using,1,1
im disappointed decision,0,1
integrated seamlessly motorola razr phone,1,1
buyer beware could flush money right toilet,0,1
definitely bargain,1,1
price good free shipping good purchase,1,1
received supposedly new motorola 375 apparently match phone charger,0,1
prosgood camera nice pictures also cool styles like black white,1,1
thats huge design flaw unless im using correctly dont think case,0,1
love 350 headset jabra350 bluetooth headset great reception good ear piece comfortable fit,1,1
camera although rated impressive 13 megapixels renders images fall well expectations relatively high resolution,0,1
purcashed car charger work,0,1
sound quality end excellent use headset call wife ask wife use headset call 2,1,1
phone slim light display beautiful,1,1
little geeky think thats sex toast rocks oozes sex right battery embedded sleek stylish leather case,1,1
great product fast shipping,1,1
absolutely great,1,1
keyboard nice compromise full qwerty basic cell phone number keypad,1,1
got phone around end may im completely unhappy,0,1
comfortable ear,1,1
winner us,1,1
setup couldnt simpler,1,1
ive tried several different earpieces cell phone jabra one first one ive found fits ear comfortably,1,1
could get strong enough signal,0,1
iam pleased purchase,1,1
bad quality,0,1
gets job done,1,1
great audio,1,1
basically service bad,0,1
work cell phone plug set charger,0,1
ive bluetooth weeks really like,1,1
bt headset disapoinment,0,1
small dont even realize getting used,1,1
accompanied software almost brilliant,1,1
headset works great packaged nicely avoid damage,1,1
definitly recommend,1,1
buyerbe careful,0,1
majority logitech earbud headsets failed,0,1
good stuff price,1,1
headset works peachykeen,1,1
house getting dropped coverage upstairs coverage basement,0,1
voice recognition tremendous,1,1
waste,0,1
several different 2 minute calls experienced 5 drops area 5 bars,0,1
happy item,0,1
disappointed,0,1
phone takes forever charge like 2 5 hours literally,0,1
got phone reccomendation relative im glad,1,1
waste time,0,1
reception poor,0,1
items stated included description included,0,1
3 months screen went black sudden,0,1
hoping,0,1
audio quality poor poor,0,1
absolutely problem headset linking 8530 blackberry curve,1,1
know sounds funny seemed like sketchy technology wouldnt work wellwell one works great,1,1
ive bought 5 wired headphones sound better,0,1
phone fast sending kind messages web browsing significantly faster previous phones used,1,1
nice quality build unlike cheap,1,1
item fantastic works perfectly,1,1
love colors,1,1
w810i superb,1,1
whine internet goesthe use thing less like,0,1
great charger,1,1
essentially communications tool communicate,0,1
works like charm work one got phone,1,1
still maintain monkeys shouldnt make headphones obviously dont share enough dna copy design humans,0,1
great value,1,1
doesnt work bougth l7c working,0,1
look sharp screen nice clear great graphics,1,1
doesnt last long,0,1
one thing hate mode set button side,0,1
excellent service,1,1
thank wasting money,0,1
bethe audio quality poor,0,1
igo chargers tips really great,1,1
file browser offers options one needshandsfree great,1,1
superb phone great network,1,1
